BVP,Heart Rate,Alpha,Beta,Gamma,Label
19.795,77.581,1.278,0.394,0.313,1
19.801,77.581,-1.903,-1.691,-1.421,1
19.808,77.581,0.291,2.249,0.001,1
19.817,77.581,3.455,-3.065,-1.997,1
19.832,77.581,-1.512,3.383,-1.022,1
19.843,77.581,-4.03,-2.058,2.438,1
19.833,77.581,1.971,0.496,1.974,1
19.906,77.581,4.657,0.173,-3.84,1
20.388,77.581,-2.833,-0.069,3.084,1
21.062,77.581,-4.435,0.313,0.995,1
21.409,77.581,4.438,-3.681,-6.194,1
21.449,77.581,1.533,5.279,-2.92,1
21.429,77.581,-3.724,-3.919,1.36,1
21.449,77.581,1.002,1.429,0.476,1
21.489,77.581,1.019,0.428,-0.381,1
21.514,77.581,-1.092,-0.158,4.581,1
21.468,77.581,0.692,-0.209,1.275,1
21.098,77.581,0.222,-0.551,-4.016,1
20.563,77.581,-0.777,0.482,-2.033,1
20.262,77.581,0.45,-1.018,-0.019,1
20.22,80,-0.515,0.592,0.179,1
20.24,80.005,0.525,-0.135,-3.47,1
20.24,80.005,0.529,1.976,2.23,1
20.204,80.005,-0.75,-4.868,2.219,1
20.168,80.005,-0.647,6.476,-1.687,1
20.172,80.005,0.63,-4.458,4.014,1
20.181,80.005,1.591,-0.148,-0.196,1
20.184,80.005,-2.14,2.939,-2.378,1
20.192,80.005,-0.904,-0.543,3.352,1
20.192,80.005,3.603,-0.575,0.076,1
20.179,80.005,-1.628,-1.849,-0.529,1
20.145,80.005,-2.578,2.539,-1.522,1
20.393,80.005,2.78,-0.609,-1.215,1
21.081,80.005,1.124,-1.458,1.452,1
21.623,80.005,-2.526,0.386,0.215,1
21.759,80.005,-0.814,1.497,0.935,1
21.728,80.005,2.503,-1.71,0.568,1
21.724,80.005,0.482,2.671,0.151,1
21.77,80.005,-2.281,-3.708,-0.795,1
21.833,80.005,-0.154,1.855,-1.005,1
21.812,80.005,1.533,-0.713,-0.726,1
21.46,80.005,0.9,0.72,0.031,1
21.006,80.005,-2.273,1.215,1.164,1
20.789,80.842,0.342,-2.408,-1.955,1
20.758,80.847,1.193,0.966,-0.167,1
20.759,80.847,-1.018,0.507,2.581,1
20.743,80.847,0.723,-0.354,1.615,1
20.71,80.847,-0.017,-0.138,-1.685,1
20.712,80.847,-1.262,-1.269,0.387,1
20.737,80.847,0.823,4.256,-0.481,1
20.766,80.847,1.651,-6.852,-1.282,1
20.794,80.847,-2.402,6.351,2.001,1
20.812,80.847,-0.853,-2.362,-0.542,1
20.815,80.847,4.685,-0.726,-0.502,1
20.802,80.847,-3.617,1.078,1.665,1
20.761,80.847,-2.626,-1.522,-2.349,1
20.807,80.847,6.622,0.373,0.614,1
21.308,80.847,-2.021,2.838,1.853,1
22.008,80.847,-5.418,-4.248,-1.416,1
22.354,80.847,4.815,2.476,-2.32,1
22.405,80.847,2.01,-0.141,0.55,1
22.382,80.847,-3.796,-1.003,-1.906,1
22.397,80.847,-0.327,1.829,-0.4,1
22.466,80.847,1.219,-1.33,4.034,1
22.377,80.847,1.936,-1.213,2.051,1
21.925,80.847,-1.056,3.072,-4.125,1
21.466,80.847,-3.804,-1.955,-0.089,1
21.293,80.842,3.924,0.005,2.331,1
21.275,80.847,2.061,-0.239,-1.195,1
21.274,80.847,-5.297,2.014,-1.208,1
21.254,80.847,1.959,-2.444,-0.799,1
21.253,80.847,2.883,1.3,0.411,1
21.283,80.847,-4.648,0.06,0.707,1
21.326,80.847,0.038,-1.787,2.026,1
21.36,80.847,5.995,2.027,1.635,1
21.395,80.847,-3.006,-2.558,-4.013,1
21.42,80.847,-4.918,4.601,0.158,1
21.433,80.847,4.653,-5.905,-0.395,1
21.428,80.847,3.413,4.507,0.795,1
21.404,80.847,-5.965,-0.943,1.216,1
21.497,80.847,-0.819,-3.491,-5.036,1
22.073,80.847,5.664,4.029,0.221,1
22.814,80.847,-2.395,0.707,-0.172,1
23.164,80.847,-2.114,-3.755,-0.464,1
23.186,80.847,2.629,2.204,2.114,1
23.164,80.847,-1.728,0.055,1.974,1
23.19,80.847,0.513,-0.358,1.17,1
23.25,80.847,1.526,-0.5,-1.942,1
23.004,80.847,-1.531,0.219,0.697,1
22.452,80.847,-0.831,1.247,-2.58,1
22.111,80.847,1.269,-3.429,-2.337,1
22.03,81.702,0.479,4.824,2.717,1
22.028,81.707,-0.284,-4.774,2.303,1
22.024,81.707,-1.255,1.683,-1.272,1
22.006,81.707,-0.604,0.919,-3.558,1
22.009,81.707,3.591,-1.002,-0.921,1
22.055,81.707,-0.958,-1.513,-0.118,1
22.109,81.707,-4.42,3.618,-2.893,1
22.152,81.707,3.231,-4.143,1.488,1
22.192,81.707,3.229,3.519,3.517,1
22.207,81.707,-4.161,-2.174,-0.49,1
22.202,81.707,-1.86,-0.611,-2.473,1
22.178,81.707,3.454,2.943,1.299,1
22.13,81.707,1.919,-0.952,-0.06,1
22.275,81.707,-3.177,-2.888,-0.665,1
22.852,81.707,-1.003,2.455,0.26,1
23.425,81.707,1.877,1.67,-0.667,1
23.628,81.707,0.005,-4.619,0.466,1
23.623,81.707,0.448,4.745,0.74,1
23.612,81.707,-0.763,-2.003,0.325,1
23.656,81.707,-1.497,-2.51,-0.339,1
23.701,81.707,1.789,6.312,1.349,1
23.399,81.707,1.914,-5.673,-0.308,1
22.88,81.707,-3.31,0.957,-1.751,1
22.585,81.707,-1.198,3.853,-0.707,1
22.528,80,4.784,-4.574,2.36,1
22.524,80.005,-1.075,3.052,2.665,1
22.497,80.005,-4.269,-0.467,0.976,1
22.456,80.005,3.417,0.174,-0.997,1
22.432,80.005,1.063,-1.665,-1.645,1
22.457,80.005,-2.358,2.037,-1.44,1
22.497,80.005,-0.342,-0.166,0.149,1
22.521,80.005,2.614,-3.073,0.697,1
22.539,80.005,-0.079,5.483,0.397,1
22.547,80.005,-3.721,-5.24,2.456,1
22.547,80.005,1.376,2.289,-0.821,1
22.528,80.005,2.548,-0.066,0.286,1
22.508,80.005,-1.785,1.676,1.36,1
22.839,80.005,0.811,-6.729,-0.386,1
23.453,80.005,-1.447,9.615,-1.604,1
23.852,80.005,-0.623,-6.014,0.916,1
23.922,80.005,3.526,2.921,4.642,1
23.899,80.005,-0.387,-0.327,-0.973,1
23.921,80.005,-3.834,-0.809,-0.483,1
23.99,80.005,0.285,-0.955,-1.022,1
23.992,80.005,3.858,2.937,-3.365,1
23.614,80.005,0.29,0.09,2.018,1
23.021,80.005,-4.427,-3.797,0.714,1
22.685,80.005,0.726,3.155,-4.685,1
22.626,80,3.499,1.253,1.873,1
22.624,80.005,-0.891,-3.972,0.35,1
22.605,80.005,-2.946,0.815,-1.826,1
22.575,80.005,0.598,2.556,-0.885,1
22.582,80.005,2.223,-2.076,1.376,1
22.634,80.005,0.327,-0.017,0.659,1
22.675,80.005,-1.59,0.664,-0.06,1
22.697,80.005,-1.392,0.476,-2.405,1
22.714,80.005,2.047,-1.77,-0.872,1
22.716,80.005,1.394,1.382,2.718,1
22.7,80.005,-3.235,0.588,-0.277,1
22.656,80.005,1.29,-2.091,0.736,1
22.647,80.005,1.402,-0.143,-3.281,1
23.02,80.005,-2.984,2.166,-2.968,1
23.644,80.005,2.547,1.583,-0.473,1
23.994,80.005,1.063,-6.71,-0.457,1
24.049,80.005,-4.988,7.425,5.553,1
24.038,80.005,3.386,-4.117,0.448,1
24.059,80.005,2.428,-1.093,-1.833,1
24.116,80.005,-4.468,3.759,2.44,1
24.18,80.005,0.557,-1.459,-1.232,1
23.981,80.005,2.634,-0.989,2.363,1
23.359,80.005,-1.034,-1.108,-0.833,1
22.817,80.005,-0.841,3.634,-3.843,1
22.651,79.175,-0.671,-3.01,-0.154,1
22.65,79.18,1.743,0.508,-0.168,1
22.649,79.18,0.914,1.365,0.919,1
22.62,79.18,-2.731,-1.333,1.339,1
22.607,79.18,-0.285,0.642,-1.257,1
22.633,79.18,2.861,-1.72,1.107,1
22.679,79.18,-0.359,2.853,2.848,1
22.706,79.18,-2.998,-1.834,0.09,1
22.723,79.18,1.982,0.286,1.008,1
22.734,79.18,2.087,0.824,0.491,1
22.744,79.18,-3.489,-1.612,-2.777,1
22.748,79.18,0.071,-0.181,-1.45,1
22.726,79.18,3.219,2.308,1.75,1
22.846,79.18,-1.714,-1.6,-1.211,1
23.385,79.18,-3.144,-0.187,-1.26,1
23.906,79.18,5.373,-0.887,0.672,1
24.046,79.18,-1.363,1.112,2.195,1
24.029,79.18,-6.074,2.716,-0.077,1
24.04,79.18,10.33,-4.968,-4.322,1
24.093,79.18,-4.041,4.527,-0.547,1
24.163,79.18,-8.814,-4.097,0.047,1
24.12,79.18,11.992,5.458,-1.272,1
23.659,79.18,-0.006,-5.889,-1.372,1
22.988,79.18,-11.219,3.32,1.716,1
22.617,78.367,7.141,0.345,-0.095,1
22.536,78.372,4.344,-2.555,-1.603,1
22.546,78.372,-7.663,1.998,1.548,1
22.538,78.372,2.469,0.419,0.043,1
22.517,78.372,2.037,-1.864,0.412,1
22.521,78.372,-3.661,2.174,0.548,1
22.545,78.372,4.572,-0.512,0.559,1
22.551,78.372,-2.333,-1.055,-0.64,1
22.548,78.372,-3.557,-1.048,0.088,1
22.553,78.372,6.216,3.514,-0.246,1
22.552,78.372,-1.436,-1.561,1.647,1
22.544,78.372,-3.679,-0.603,1.881,1
22.508,78.372,2.044,1.363,-1.926,1
22.577,78.372,0.623,-1.712,-2.09,1
23.104,78.372,1.364,2.505,0.291,1
23.686,78.372,-1.807,-4.754,-0.391,1
23.899,78.372,-2.338,5.181,1.404,1
23.892,78.372,2.665,-1.681,0.921,1
23.883,78.372,3.4,-3.533,-0.981,1
23.939,78.372,-5.489,6.641,-0.208,1
24.021,78.372,-0.882,-6.722,-1.458,1
23.965,78.372,5.245,4.937,2.241,1
23.428,78.372,-1.17,-2.403,0.475,1
22.676,78.372,-2.335,0.546,-0.488,1
22.273,80,-1.061,1.174,2.618,1
22.204,80.005,2.936,-2.343,1.725,1
22.202,80.005,2.118,2.768,-0.615,1
22.184,80.005,-4.895,0.043,-0.683,1
22.162,80.005,0.116,-1.932,2.215,1
22.179,80.005,3.532,0.252,-1.791,1
22.234,80.005,-0.368,1.79,-1.566,1
22.268,80.005,-2.602,-1.373,-2.534,1
22.289,80.005,0.245,0.65,1.007,1
22.301,80.005,2.448,-0.272,2.476,1
22.308,80.005,-1.687,0.41,0.544,1
22.297,80.005,0.452,-1.973,1.367,1
22.274,80.005,-0.441,2.359,-1.344,1
22.236,80.005,-0.98,-0.931,-0.413,1
22.479,80.005,3.033,0.296,1.01,1
23.134,80.005,-1.765,-0.487,-2.415,1
23.654,80.005,-0.828,-0.907,1.25,1
23.799,80.005,0.286,2.029,2.343,1
23.785,80.005,0.822,-2.888,-0.491,1
23.799,80.005,0.828,3.146,0.053,1
23.883,80.005,-1.995,-2.333,-0.574,1
23.797,80.005,0.162,1.358,0.818,1
23.228,80.005,1.279,-0.043,1.881,1
22.599,80.005,-0.373,-0.414,-2.905,1
22.365,80.842,-0.008,0.194,-0.525,1
22.368,80.847,-0.833,-1.081,1.535,1
22.367,80.847,-0.265,2.297,-0.124,1
22.309,80.847,3.341,-3.186,0.848,1
22.244,80.847,-3.336,4.396,1.248,1
22.228,80.847,-2.653,-5.466,-0.484,1
22.268,80.847,7.836,4.087,-0.422,1
22.352,80.847,-3.412,-1.948,0.193,1
22.432,80.847,-6.2,0.368,-1.401,1
22.471,80.847,8.601,1.423,-0.952,1
22.469,80.847,-0.197,-3.026,1.751,1
22.445,80.847,-9.045,2.724,-0.536,1
22.419,80.847,5.3,-2.246,-3.834,1
22.377,80.847,6.314,3.237,-0.272,1
22.343,80.847,-5.907,-5.571,1.423,1
22.521,80.847,-4.854,5.01,-0.798,1
22.971,80.847,4.416,-2.363,3.128,1
23.314,80.847,6.809,0.832,0.55,1
23.379,80.847,-6.24,-0.174,-3.141,1
23.372,80.847,-5.899,-0.691,-0.776,1
23.429,80.847,7.67,0.805,-0.217,1
23.166,80.847,1.436,0.241,0.686,1
22.581,80.847,-4.216,-0.86,-0.879,1
22.177,80.847,-0.135,-0.929,0.629,1
22.088,81.702,0.728,1.992,1.361,1
22.084,81.707,1.919,0.467,-1.645,1
22.039,81.707,-1.403,-4.227,0.047,1
21.966,81.707,-1.75,5.103,2.018,1
21.935,81.707,3.215,-3.714,-0.609,1
21.982,81.707,-1.646,2.295,-4.092,1
22.05,81.707,-0.342,-2.325,-2.439,1
22.109,81.707,1.218,4.352,7.019,1
22.177,81.707,-1.792,-5.939,2.087,1
22.243,81.707,1.267,5.917,-2.557,1
22.264,81.707,1.299,-2.621,1.523,1
22.234,81.707,-2.385,-1.345,-0.596,1
22.181,81.707,-0.319,2.88,-1.749,1
22.128,81.707,1.966,-3.191,0.249,1
22.101,81.707,0.599,3.869,-1.449,1
22.096,81.707,-2.384,-4.051,-2.776,1
22.097,81.707,-0.517,0.797,1.476,1
22.437,81.707,3.484,4.065,-1.567,1
23.103,81.707,-1.419,-6.61,-2.024,1
23.555,81.707,-2.288,4.455,3.65,1
23.667,81.707,1.833,-0.289,-0.594,1
23.308,81.707,0.999,-1.191,1.484,1
22.696,81.707,-1.177,0.773,3.548,1
22.382,81.707,-0.21,-0.244,0.743,1
22.373,80,0.006,0.825,-0.139,1
22.402,80.005,0.403,-2.121,0.178,1
22.367,80.005,0.118,2.378,0.121,1
22.285,80.005,-0.475,-1.181,-0.79,1
22.21,80.005,1.28,-2.161,-2.026,1
22.188,80.005,-2.93,6.39,1.355,1
22.211,80.005,2.057,-8.155,0.399,1
22.247,80.005,2.953,6.731,-0.898,1
22.284,80.005,-5.295,-3.836,2.155,1
22.315,80.005,-0.167,2.563,1.5,1
22.328,80.005,3.424,-0.004,-2.938,1
22.301,80.005,2.564,-5.222,0.44,1
22.252,80.005,-4.124,7.641,5.462,1
22.199,80.005,-4.803,-7.328,0.954,1
22.157,80.005,8.065,6.102,-3.381,1
22.143,80.005,1.227,-4.314,-1.308,1
22.147,80.005,-8.888,3.325,2.428,1
22.136,80.005,4.824,-4.051,2.047,1
22.247,80.005,2.732,5.581,-0.927,1
22.76,80.005,-4.512,-4.052,2.342,1
23.342,80.005,2.97,0.01,0.346,1
23.467,80.005,-1.384,2.251,-4.831,1
22.955,80.005,-1.643,-2.215,-2.254,1
22.408,80.005,4.364,0.193,2.181,1
22.281,78.367,-2.775,0.83,-1.7,1
22.34,78.372,-1.416,-0.335,-1.646,1
22.349,78.372,3.18,-0.301,3.22,1
22.276,78.372,-1.682,0.786,2.326,1
22.189,78.372,-0.799,-0.363,-0.649,1
22.157,78.372,3.199,-0.618,-0.963,1
22.154,78.372,-2.927,0.982,-2.773,1
22.163,78.372,-2.699,-1.517,-1.427,1
22.188,78.372,5.42,1.078,1.609,1
22.213,78.372,0.835,0.77,-0.278,1
22.227,78.372,-4.439,-3.455,1.986,1
22.209,78.372,-0.824,4.739,2.646,1
22.165,78.372,3.215,-3.942,-2.164,1
22.125,78.372,1.971,3.03,-0.797,1
22.101,78.372,-3.442,-1.537,3.01,1
22.091,78.372,-2.035,-2.005,-0.112,1
22.096,78.372,3.635,5.056,-3.52,1
22.11,78.372,1.578,-4.225,-0.327,1
22.104,78.372,-3.918,1.727,0.832,1
22.256,78.372,0.06,-0.599,-1.135,1
22.804,78.372,2.271,0.522,0.201,1
23.257,78.372,0.213,-0.87,1.742,1
22.938,78.372,-1.872,2.011,0.11,1
22.35,78.372,-0.2,-2.155,0.005,1
22.121,79.175,1.582,2.848,-1.584,1
22.177,79.18,-0.022,-3.747,-1.434,1
22.241,79.18,-0.457,2.469,-0.177,1
22.199,79.18,-0.718,-1.01,3.039,1
22.103,79.18,-0.275,-0.114,0.187,1
22.038,79.18,1.851,0.284,-3.565,1
22.021,79.18,-0.281,0.021,1.019,1
22.021,79.18,-2.094,-0.152,-0.803,1
22.033,79.18,1.721,0.291,-0.227,1
22.059,79.18,0.887,0.054,3.881,1
22.097,79.18,-3.053,-0.524,-2.37,1
22.113,79.18,1.36,-0.648,-1.568,1
22.099,79.18,3.333,2.34,-1.098,1
22.062,79.18,-4.479,-3.197,-0.326,1
22.011,79.18,-0.342,1.256,2.422,1
21.982,79.18,4.465,2.103,1.891,1
21.97,79.18,-2.395,-3.998,0.346,1
21.977,79.18,-2.36,3.136,0.939,1
21.964,79.18,3.683,-1.147,0.687,1
21.989,79.18,-1.275,-0.491,-0.365,1
22.352,79.18,-1.206,-0.151,2.665,1
22.889,79.18,1.202,1.898,1.138,1
22.945,79.18,0.105,-1.16,-0.835,1
22.351,79.18,0.064,-1.311,-1.843,1
21.802,79.18,-1.338,1.127,0.886,1
21.678,78.367,1.012,1.859,1.151,1
21.748,78.372,0.906,-2.826,-2.456,1
21.766,78.372,-1.635,0.351,-0.289,1
21.679,78.372,0.646,0.934,1.636,1
21.576,78.372,-0.371,-0.131,1.147,1
21.533,78.372,0.602,0.309,0.261,1
21.531,78.372,1.619,-1.115,-3.258,1
21.522,78.372,-4.15,1.537,-0.459,1
21.529,78.372,1.714,-1.764,-0.238,1
21.565,78.372,3.199,1.649,0.964,1
21.612,78.372,-3.307,-1.7,0.478,1
21.653,78.372,-0.691,1.431,-0.641,1
21.675,78.372,2.107,-1.467,-0.783,1
21.657,78.372,0.114,2.547,-1.655,1
21.588,78.372,-0.972,-2.289,-0.098,1
21.518,78.372,-0.452,1.694,-0.591,1
21.492,78.372,0.4,-1.003,1.799,1
21.493,78.372,0.867,0.297,2.132,1
21.547,78.372,-0.042,1.17,1.667,1
21.926,78.372,-1.337,-2.359,-1.548,1
22.499,78.372,0.316,1.66,-3.916,1
22.811,78.372,0.744,1.143,0.146,1
22.674,78.372,1.437,-3.571,0.031,1
22.177,78.372,-1.958,2.288,-3.572,1
21.792,78.372,-4.842,0.944,-0.468,1
21.716,76.8,7.765,-2.324,2.264,1
21.721,76.805,2.865,2.15,0.586,1
21.657,76.805,-10.53,-1.618,0.984,1
21.602,76.805,2.099,2.67,0.2,1
21.565,76.805,7.495,-3.293,-0.875,1
21.537,76.805,-3.802,2.047,-0.957,1
21.528,76.805,-3.525,-1.317,0.257,1
21.546,76.805,1.764,0.212,1.731,1
21.578,76.805,3.003,1.24,0.016,1
21.611,76.805,-0.932,-1.509,-0.303,1
21.63,76.805,-3.099,1.39,1.62,1
21.612,76.805,1.057,0.009,1.191,1
21.573,76.805,2.797,-0.497,-2.08,1
21.535,76.805,-1.294,0.225,-1.728,1
21.484,76.805,-1.769,-1.695,2.804,1
21.423,76.805,0.354,4.331,0.246,1
21.381,76.805,1.494,-4.832,-0.321,1
21.376,76.805,1.562,3.55,-0.121,1
21.649,76.805,-4.313,-2.708,-4.827,1
22.21,76.805,0.724,1.23,0.171,1
22.602,76.805,3.359,-0.039,1.081,1
22.692,76.805,-1.318,-1.859,-1.364,1
22.678,76.805,-1.852,2.742,1.601,1
22.362,76.805,-0.344,-2.799,0.161,1
21.701,76.805,2.899,0.959,1.614,1
21.215,76.805,0.185,-0.13,0.222,1
21.057,73.846,-3.596,2.649,0.758,1
21.047,73.851,1.289,-4.848,1.448,1
21.031,73.851,2.724,4.076,1.226,1
20.959,73.851,-2.495,-1.303,-0.512,1
20.89,73.851,-0.786,0.42,-0.955,1
20.873,73.851,2.338,-0.12,-2.387,1
20.905,73.851,-0.933,-1.007,-0.997,1
20.937,73.851,-0.223,-0.233,0.107,1
20.967,73.851,-0.49,2.969,4.632,1
20.996,73.851,0.463,-4.618,0.955,1
20.999,73.851,0.776,3.936,-3.598,1
20.982,73.851,-0.225,-1.752,0.385,1
20.956,73.851,-1.426,0.559,0.015,1
20.935,73.851,1.075,-1.747,-3.928,1
20.915,73.851,0.319,4.82,-3.301,1
20.9,73.851,-0.03,-3.81,1.675,1
20.925,73.851,-0.831,-0.964,2.93,1
21.304,73.851,-0.153,2.577,4.351,1
21.906,73.851,1.938,-1.943,0.976,1
22.235,73.851,-1.985,3.16,-2.234,1
22.28,73.851,-0.336,-2.868,-0.527,1
22.273,73.851,3.265,-0.446,0.133,1
22.177,73.851,-3.792,2.406,-1.279,1
21.685,73.851,0.561,-2.257,-1.784,1
21.071,73.851,4.102,2.975,2.226,1
20.76,75.294,-5.523,-1.427,1.217,1
20.72,75.299,1.692,-1.892,-0.305,1
20.715,75.299,3.495,2.418,-1.186,1
20.66,75.299,-4.317,-1.633,-1.541,1
20.592,75.299,0.768,2.067,3.992,1
20.566,75.299,2.129,-2.074,0.183,1
20.583,75.299,-1.83,1.387,-0.519,1
20.615,75.299,1.222,-0.332,-0.359,1
20.645,75.299,-0.869,1.091,-3.555,1
20.662,75.299,-2.87,-2.654,-2.525,1
20.659,75.299,5.271,3.355,-2.962,1
20.639,75.299,0.441,-1.399,-3.031,1
20.619,75.299,-5.15,-2.064,2.193,1
20.594,75.299,0.412,3.039,3.76,1
20.585,75.299,3.575,-3.126,-2.266,1
20.58,75.299,1.031,2.608,0.263,1
20.611,75.299,-3.322,-3.027,0.66,1
21.007,75.299,-3.48,2.935,0.159,1
21.656,75.299,6.572,-1.545,-0.326,1
22.048,75.299,2.258,2.154,0.731,1
22.112,75.299,-9.339,-3.197,0.004,1
22.112,75.299,2.599,1.819,-2.734,1
21.985,75.299,6.401,-0.156,-1.094,1
21.469,75.299,-3.844,-0.335,-1.612,1
20.905,75.299,-2.536,-0.347,-0.978,1
20.675,77.576,1.032,0.783,1.693,1
20.659,77.581,2.65,-0.818,4.533,1
20.642,77.581,0.177,-0.132,-1.073,1
20.565,77.581,-4.24,1.245,-0.975,1
20.482,77.581,2.017,-1.517,1.362,1
20.455,77.581,2.901,1.911,0.664,1
20.483,77.581,-3.444,-2.342,1.888,1
20.526,77.581,-0.227,0.678,-3.978,1
20.568,77.581,2.137,1.288,-3.362,1
20.6,77.581,0.114,-1.087,-1.897,1
20.621,77.581,-1.744,-1.996,-2.464,1
20.62,77.581,-0.234,3.193,1.244,1
20.587,77.581,1.485,-0.75,2.46,1
20.547,77.581,1.118,-1.963,2.693,1
20.512,77.581,-3.04,4.645,0.047,1
20.491,77.581,-0.001,-8.773,-1.561,1
20.472,77.581,3.592,10.413,-1.458,1
20.567,77.581,-1.76,-7.211,1.215,1
21.117,77.581,-2.86,0.325,0.892,1
21.785,77.581,2.681,5.907,1.093,1
22.127,77.581,1.871,-7.286,2.568,1
22.156,77.581,-2.283,5.901,-1.21,1
21.769,77.581,-1.976,-2.976,-1.713,1
21.217,77.581,2.737,-0.044,-0.883,1
20.926,77.581,1.336,1.159,-1.39,1
20.9,78.367,-3.335,-1.084,1.603,1
20.897,78.372,0.689,1.723,1.23,1
20.848,78.372,2.19,-2.058,0.114,1
20.77,78.372,-2.352,2.401,-0.16,1
20.711,78.372,0.666,-1.551,0.503,1
20.7,78.372,1.88,-0.827,-1.399,1
20.715,78.372,-2.569,1.596,-0.774,1
20.744,78.372,-1.741,-1.225,0.344,1
20.779,78.372,6.022,0.279,-0.483,1
20.802,78.372,-2.394,1.819,0.602,1
20.808,78.372,-4.212,-2.443,-0.458,1
20.786,78.372,5.618,-0.183,-1.107,1
20.748,78.372,-4.301,3.278,-0.567,1
20.706,78.372,-0.156,-5.678,-1.134,1
